1,101,2022-01-01,2022-02-15
2,102,2022-02-10,2022-03-20
3,101,2022-03-15,2022-04-25
4,103,2022-04-20,2022-05-30
5,102,2022-05-25,2022-06-15
6,101,2022-06-10,2022-07-20
7,104,2022-07-15,2022-08-25
8,103,2022-08-20,2022-09-30
9,104,2022-09-25,2022-10-15
10,102,2022-10-10,2022-11-20
11,101,2022-11-15,2022-12-25
12,103,2022-12-20,2023-01-30
13,104,2023-01-25,2023-02-15
14,101,2023-02-10,2023-03-20
15,102,2023-03-15,2023-04-25
16,104,2023-04-20,2023-05-30
17,103,2023-05-25,2023-06-15
18,103,2023-06-10,2023-07-20
19,101,2023-07-15,2023-08-25
55,103,2022-03-15,2022-05-31
